,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
3987,2019-01-16,57.0,male,gun,White,Sperry,OK,foot,True,True,"Tulsa County Sheriff's Office, OK",2019.0
3988,2019-01-16,37.40950678304764,female,vehicle,White,West Memphis,AR,car,False,False,"West Memphis Police Department, AR",2019.0
3989,2019-01-16,37.40950678304764,male,vehicle,Black,West Memphis,AR,car,False,False,"West Memphis Police Department, AR",2019.0
3990,2019-01-16,46.0,male,unarmed,White,Fort Lupton,CO,car,True,True,"Weld County Sheriff's Department, CO",2019.0
3991,2019-01-18,64.0,male,gun,White,O'Fallon,MO,not,False,True,"O'Fallon Police Department, MO",2019.0
3992,2019-01-19,30.0,male,vehicle,White,Knoxville,TN,car,False,False,"Knoxville Police Department, TN",2019.0
3993,2019-01-19,42.0,male,blunt_object,White,Clackamas County,OR,not,False,False,"Clackamas County Sheriff's Office, OR",2019.0
3994,2019-01-19,35.0,male,unarmed,White,St. Louis Park,MN,not,False,True,"St. Louis Park Police Department, MN",2019.0
3995,2019-01-20,26.0,male,gun,White,Billings,MT,foot,False,False,"Billings Police Department, MT",2019.0
3996,2019-01-21,37.0,male,unarmed,Hispanic,Las Vegas,NV,car,False,True,"North Las Vegas Police Department, NV",2019.0
3997,2019-01-22,21.0,male,unarmed,Black,Atlanta,GA,foot,False,False,"Atlanta Police Department, GA",2019.0
3998,2019-01-23,20.0,male,gun,Hispanic,Flagstaff,AZ,foot,False,False,"Flagstaff Police Department, AZ",2019.0
4001,2019-01-23,46.0,male,knife,White,South Haven,IN,not,True,True,"Porter County Sheriff's Office, IN",2019.0
4002,2019-01-23,20.0,male,unarmed,White,Flagstaff,AZ,foot,False,False,"Arizona Department of Public Safety, AZ",2019.0
4003,2019-01-24,26.0,male,unarmed,Hispanic,Ehrenberg,AZ,car,False,False,"Arizona Department of Public Safety, AZ",2019.0
4004,2019-01-24,24.0,female,unarmed,White,St. Louis,MO,not,False,False,"St. Louis Police Department, MO",2019.0
